DateTime,AddedIPs,RemovedIPs
1548942765,147,0
1548947086,180,333
1548950449,169,165
1548991480,199,2412
1548996282,161,322
1548999168,191,0
1549003216,158,0
1549006596,126,0
1549012360,110,114
1549016920,155,85
1549022190,121,166
1549043798,144,956
1549049569,256,0
1549053165,232,190
1549062030,173,204
1549065144,124,126
1549075974,125,290
1549085081,148,226
1549088445,170,0
1549092290,155,125
1549095877,147,132
1549101880,153,163
1549104766,129,100
1549115562,137,295
1549118198,221,137
1549131616,185,401
1549135721,245,166
1549139324,189,248
1549142917,206,0
1549147241,172,257
1549164738,147,671
1549168123,155,0
1549172444,97,163
1549176765,116,168
1549180114,102,0
1549183961,89,106
1549188758,108,100
1549191877,112,0
1549196183,121,0
1549200764,169,158
1549204591,170,222
1549211558,219,405
1549225237,169,296
1549228131,180,0
1549231236,206,0
1549235078,124,0
1549238176,111,0
1549241546,97,279
1549254970,106,154
1549259800,95,0
1549263642,112,0
1549266248,134,0
1549270360,89,247
1549277553,92,0
1549295769,144,0
1549298209,166,0
1549301570,163,0
1549305131,136,212
1549309019,184,218
1549323162,136,231
1549325078,193,0
1549330107,167,0
1549333961,191,0
1549338756,120,0
1549342360,95,0
1549356496,127,290
1549360340,161,155
1549363718,94,0
1549386019,138,331
1549386990,134,0
1549403561,138,192
1549405952,224,0
1549410270,159,191
1549452264,180,825
1549457552,140,0
1549461169,164,103
1549463559,141,137
1549467138,147,0
1549471228,198,376
1549475326,211,151
1549478459,178,226
1549481550,156,182
1549540330,132,857
1549542736,135,0
1549557412,152,707
1549559538,159,0
1549566510,184,0
1549574176,217,0
1549580681,156,0
1549585234,152,0
1549588818,140,0
1549610414,147,589
1549611403,179,103
1549617390,142,95
1549622904,127,138
1549639972,166,118
1549641145,130,0
1549646439,144,0
1549651474,107,133
1549693218,166,907
1549785378,102,2516
1549788029,106,0
1549794508,143,192
1549799323,136,115
1549810094,191,517
1549889316,144,1935
1549893642,149,0
1549901062,228,150
1549905132,192,201
1549908975,208,190
1549914757,240,379
1549917869,292,0
1549920296,242,0
1549923871,273,0
1549973565,149,1487
1549977376,209,0
1549981713,175,0
1549985560,184,0
1549990358,195,0
1550058966,237,1170
1550066922,312,331
1550070740,203,172
1550162898,345,1713
1550254334,327,2821
1550345540,362,458
1550356099,376,0
1550359956,360,0
1550376733,388,0
1550377709,277,0
1550383969,323,0
1550417287,292,985
1550421133,327,0
1550479580,263,0
1550488121,238,0
1550489073,325,0
1550507155,232,649
1550512593,347,251
1550515938,358,275
1550519789,342,296
1550569218,230,977
1550574041,234,0
1550574979,216,0
1550575962,198,0
1550577387,219,0
1550578358,304,0
1550579293,271,189
1550580261,249,0
1550581224,234,0
1550585790,224,272
1550587228,245,207
1550590837,269,203
1550632833,275,241
1550638593,244,0
1550642917,280,0
1550644838,196,0
1550647480,209,0
1550654052,191,0
1550662808,232,0
1550664503,217,235
1550667882,186,0
1550671459,250,0
1550673158,214,344
1550680382,203,211
1550739158,285,0
1550747084,255,0
1550761009,236,0
1550830098,271,334
1550857218,242,0
1550884838,195,285
1550976500,191,868
1551035331,255,1419
1551127217,303,1948
1551219114,352,2982
1551222536,366,0
1551249140,277,760
1551263083,322,690
1551354779,315,2490
1551382337,330,355
1551383293,386,0
1551387154,328,0
1551402017,334,0
1551407333,361,0
1551411169,280,0
1551480281,286,620
1551481218,227,0
1551488186,263,0
1551493238,283,277
1551497566,243,0
1551501166,257,0
1551504988,211,0
1551513621,218,0
1551518096,185,0
1551527785,206,0
1551531388,194,0
1551567371,272,0
1551568367,306,0
1551570731,252,0
1551575089,277,0
1551576502,240,0
1551578932,223,0
