DateTime,Entries,UniqueIPs
1548942765,500,500
1548947086,500,500
1548950449,500,500
1548991480,500,500
1548996282,500,500
1548999168,500,500
1549003216,500,500
1549006596,500,500
1549012360,500,500
1549016920,500,500
1549022190,500,500
1549043798,500,500
1549049569,500,500
1549053165,500,500
1549062030,500,500
1549065144,500,500
1549075974,500,500
1549085081,500,500
1549088445,500,500
1549092290,500,500
1549095877,500,500
1549101880,500,500
1549104766,500,500
1549115562,500,500
1549118198,500,500
1549131616,500,500
1549135721,500,500
1549139324,500,500
1549142917,500,500
1549147241,500,500
1549164738,500,500
1549168123,500,500
1549172444,500,500
1549176765,500,500
1549180114,500,500
1549183961,500,500
1549188758,500,500
1549191877,500,500
1549196183,500,500
1549200764,500,500
1549204591,500,500
1549211558,500,500
1549225237,500,500
1549228131,500,500
1549231236,500,500
1549235078,500,500
1549238176,500,500
1549241546,500,500
1549254970,500,500
1549259800,500,500
1549263642,500,500
1549266248,500,500
1549270360,500,500
1549277553,500,500
1549295769,500,500
1549298209,500,500
1549301570,500,500
1549305131,500,500
1549309019,500,500
1549323162,500,500
1549325078,500,500
1549330107,500,500
1549333961,500,500
1549338756,500,500
1549342360,500,500
1549356496,500,500
1549360340,500,500
1549363718,500,500
1549386019,500,500
1549386990,500,500
1549403561,500,500
1549405952,500,500
1549410270,500,500
1549452264,500,500
1549457552,500,500
1549461169,500,500
1549463559,500,500
1549467138,500,500
1549471228,500,500
1549475326,500,500
1549478459,500,500
1549481550,500,500
1549540330,500,500
1549542736,500,500
1549557412,500,500
1549559538,500,500
1549566510,500,500
1549574176,500,500
1549580681,500,500
1549585234,500,500
1549588818,500,500
1549610414,500,500
1549611403,500,500
1549617390,500,500
1549622904,500,500
1549639972,500,500
1549641145,500,500
1549646439,500,500
1549651474,500,500
1549693218,500,500
1549785378,500,500
1549788029,500,500
1549794508,500,500
1549799323,500,500
1549810094,500,500
1549889316,500,500
1549893642,500,500
1549901062,500,500
1549905132,500,500
1549908975,500,500
1549914757,500,500
1549917869,500,500
1549920296,500,500
1549923871,500,500
1549973565,500,500
1549977376,500,500
1549981713,500,500
1549985560,500,500
1549990358,500,500
1550058966,500,500
1550066922,500,500
1550070740,500,500
1550162898,500,500
1550254334,500,500
1550345540,500,500
1550356099,500,500
1550359956,500,500
1550376733,500,500
1550377709,500,500
1550383969,500,500
1550417287,500,500
1550421133,500,500
1550479580,500,500
1550488121,500,500
1550489073,500,500
1550507155,500,500
1550512593,500,500
1550515938,500,500
1550519789,500,500
1550569218,500,500
1550574041,500,500
1550574979,500,500
1550575962,500,500
1550577387,500,500
1550578358,500,500
1550579293,500,500
1550580261,500,500
1550581224,500,500
1550585790,500,500
1550587228,500,500
1550590837,500,500
1550632833,500,500
1550638593,500,500
1550642917,500,500
1550644838,500,500
1550647480,500,500
1550654052,500,500
1550662808,500,500
1550664503,500,500
1550667882,500,500
1550671459,500,500
1550673158,500,500
1550680382,500,500
1550739158,500,500
1550747084,500,500
1550761009,500,500
1550830098,500,500
1550857218,500,500
1550884838,500,500
1550976500,500,500
1551035331,500,500
